modelo,ventana,unidad,MAE,RMSE,MAPE,tiempo_segundos
Baseline persistencia,4,G1,0.2836839228723404,0.7568472097409855,5.955032241937205,
Baseline persistencia,4,G2,0.19075938297872339,0.8702698811584222,8.187689616768365,
Baseline persistencia,4,Agregado,0.2372216529255319,0.8155327599012224,7.071360929352785,2.9299999994236717e-05
Random Forest,4,G1,0.27151647979995264,0.7613745927898873,5.979050696364512,
Random Forest,4,G2,0.16614312454635485,0.6804520884233313,8.01861624405253,
Random Forest,4,Agregado,0.21882980217315376,0.7220478914814584,6.99883347020852,1.163475500000004
XGBoost,4,G1,0.27729974293388204,0.7683640800833382,6.142014800404154,
XGBoost,4,G2,0.1620291755877555,0.670728403308649,7.943083459559889,
XGBoost,4,Agregado,0.21966445926081876,0.7212003711061457,7.042549129982022,0.2858860000000049
LSTM,4,G1,0.2391257145888594,0.6429709957954277,5.280591200898491,
LSTM,4,G2,0.1548048527851458,0.6602553731117636,7.940525696935619,
LSTM,4,Agregado,0.1969652836870026,0.6516704915665271,6.610558448917055,8.636338600001181
Baseline persistencia,12,G1,0.2836839228723404,0.7568472097409855,5.955032241937205,
Baseline persistencia,12,G2,0.19075938297872339,0.8702698811584222,8.187689616768365,
Baseline persistencia,12,Agregado,0.2372216529255319,0.8155327599012224,7.071360929352785,2.870000002985762e-05
Random Forest,12,G1,0.26620686265189897,0.7555972293251721,5.914635142424789,
Random Forest,12,G2,0.1670358721760474,0.6836852583849622,8.028602275050686,
Random Forest,12,Agregado,0.2166213674139732,0.7205389321531451,6.971618708737738,1.8624297999999728
XGBoost,12,G1,0.2766413048158199,0.7627595445054246,6.134626058344557,
XGBoost,12,G2,0.15763758467848754,0.6678266995075443,7.918094849005046,
XGBoost,12,Agregado,0.21713944474715374,0.7168663136559223,7.0263604536748,0.3185048999999935
LSTM,12,G1,0.22619129893899204,0.6102152415940103,4.969032228896979,
LSTM,12,G2,0.1389566551724138,0.6605443393709173,7.838556413777233,
LSTM,12,Agregado,0.18257397705570294,0.6358779227762975,6.403794321337106,14.873353900002257
Baseline persistencia,24,G1,0.2836839228723404,0.7568472097409855,5.955032241937205,
Baseline persistencia,24,G2,0.19075938297872339,0.8702698811584222,8.187689616768365,
Baseline persistencia,24,Agregado,0.2372216529255319,0.8155327599012224,7.071360929352785,3.500000002532033e-05
Random Forest,24,G1,0.27798195949443977,0.7816799936353435,6.154660010801597,
Random Forest,24,G2,0.16360340619346372,0.6874337829726193,8.016417084915993,
Random Forest,24,Agregado,0.22079268284395176,0.7360668510474427,7.085538547858795,3.192013700000018
XGBoost,24,G1,0.2845562968082022,0.7784103785457874,6.2388348009348435,
XGBoost,24,G2,0.15334895868796491,0.6641112011089403,7.8793826980856005,
XGBoost,24,Agregado,0.21895262774808358,0.7235213904461136,7.059108749510222,0.4598962000000028
LSTM,24,G1,0.2568495877984085,0.704383071354976,5.724485047906101,
LSTM,24,G2,0.13432939655172407,0.6480043627516937,7.792890334309792,
LSTM,24,Agregado,0.19558949217506627,0.6767810448574553,6.758687691107948,12.136817700000393
