modelo,ventana,unidad,MAE (MW),RMSE (MW),MAPE (%),Tiempo de cómputo (s)
Baseline persistencia,4,G1,"0,28","0,76","5,96",—
Baseline persistencia,4,G2,"0,19","0,87","8,19",—
Baseline persistencia,4,Agregado,"0,24","0,82","7,07","< 0,01"
Random Forest,4,G1,"0,27","0,76","5,98",—
Random Forest,4,G2,"0,17","0,68","8,02",—
Random Forest,4,Agregado,"0,22","0,72","7,00","1,16"
XGBoost,4,G1,"0,28","0,77","6,14",—
XGBoost,4,G2,"0,16","0,67","7,94",—
XGBoost,4,Agregado,"0,22","0,72","7,04","0,29"
LSTM,4,G1,"0,24","0,64","5,28",—
LSTM,4,G2,"0,15","0,66","7,94",—
LSTM,4,Agregado,"0,20","0,65","6,61","8,64"
Baseline persistencia,12,G1,"0,28","0,76","5,96",—
Baseline persistencia,12,G2,"0,19","0,87","8,19",—
Baseline persistencia,12,Agregado,"0,24","0,82","7,07","< 0,01"
Random Forest,12,G1,"0,27","0,76","5,91",—
Random Forest,12,G2,"0,17","0,68","8,03",—
Random Forest,12,Agregado,"0,22","0,72","6,97","1,86"
XGBoost,12,G1,"0,28","0,76","6,13",—
XGBoost,12,G2,"0,16","0,67","7,92",—
XGBoost,12,Agregado,"0,22","0,72","7,03","0,32"
LSTM,12,G1,"0,23","0,61","4,97",—
LSTM,12,G2,"0,14","0,66","7,84",—
LSTM,12,Agregado,"0,18","0,64","6,40","14,87"
Baseline persistencia,24,G1,"0,28","0,76","5,96",—
Baseline persistencia,24,G2,"0,19","0,87","8,19",—
Baseline persistencia,24,Agregado,"0,24","0,82","7,07","< 0,01"
Random Forest,24,G1,"0,28","0,78","6,15",—
Random Forest,24,G2,"0,16","0,69","8,02",—
Random Forest,24,Agregado,"0,22","0,74","7,09","3,19"
XGBoost,24,G1,"0,28","0,78","6,24",—
XGBoost,24,G2,"0,15","0,66","7,88",—
XGBoost,24,Agregado,"0,22","0,72","7,06","0,46"
LSTM,24,G1,"0,26","0,70","5,72",—
LSTM,24,G2,"0,13","0,65","7,79",—
LSTM,24,Agregado,"0,20","0,68","6,76","12,14"
